"","(Intercept)","Bottom.Temp.Fall","Bottom.Temp.Spring","Bottom.Temp.Summer","Bottom.Temp.Winter","Mixed.Layer.Fall","Mixed.Layer.Spring","Mixed.Layer.Summer","Mixed.Layer.Winter","Salinity.Fall","Salinity.Spring","Salinity.Summer","Salinity.Winter","SSH.Fall","SSH.Spring","SSH.Summer"
"SSH.Winter",0.0851796396195668,0.252929016040154,0.498348262190417,0.3340736584692,-0.445367433638827,2.27420514659031,-4.60128124157205,2.59215175300059,3.39933501944342,-0.48912643225088,-0.137320789727251,0.239767656457192,0.725246401274355,-3.69333651948962,5.81306517618941,-10.2030197097147
"SST.Fall",0.168032844311225,1.80839964301766,0.978809918263773,0.35018290093118,-0.998513055920899,-9.06823428142828,-6.10167560206093,8.22556334194181,1.07739456525084,0.836816758118673,-0.439940954272665,-0.0520117967553573,1.56638631172714,-8.34196974856814,7.19160290219649,-12.8669873044265
"SST.Spring",0.137541151869513,0.906359308220627,1.55840786568127,-0.0717322701425366,-0.630510550307793,1.92381282865807,-11.3021401055486,12.3672561707856,-2.71289191456771,0.445985949279857,-0.292740313502415,0.119304042882006,1.77541625885545,-2.53610335835921,-0.388383585860697,-12.5288323101428
"SST.Summer",0.310167583081941,1.34385205392299,1.47336012689383,1.88403006955923,-1.77116802407271,7.32059162430387,-16.6537745474356,-0.0488006890953298,12.2111996197731,-1.86920909706764,-0.0502096560169351,1.37580317950143,2.37061085429943,-19.2929594830834,28.1192358943898,-37.2078714311876
"SST.Winter",-0.21793367642563,-0.662866870176528,-1.00604070176313,-1.29703950634966,2.34730772802439,-2.86833675373539,13.2655465694395,4.2770165891409,-14.9579699244835,1.30488845924455,0.260628991503368,-1.25618296339549,-1.28406461447995,14.5140271098721,-17.5702148678992,29.0296935821318
"ChlGlob50.Fall",0.0142116164026279,0.0030439706990416,0.0201601513309236,0.0251730672406594,-0.0201566166760569,0.820379414847494,-0.58108836167017,0.00102926659926772,0.265048856289881,-0.180488826884941,0.0512012369893458,0.0211874432304762,0.0492168802436592,-0.373966602470255,0.848984269413269,-0.86018139955125
"ChlGlob50.Spring",-0.00499938110413978,0.0870720883909581,0.0148263782196105,-0.0488658809449385,0.0353033884010028,0.893271346328933,-0.755422921870937,-0.713689549163808,0.0766930620217604,0.0430730600536292,0.127130274602277,-0.124863667392872,-0.0479465432950589,0.132584667150508,-0.613852770169032,0.805075274032377
"ChlGlob50.Summer",0.00221404227782615,0.0250193215566207,-0.0211329452111608,-0.0778379681847593,0.05776889163013,0.517913912317009,-0.0117793120091675,0.341973641824017,-0.714234237771961,0.0439741830170788,0.0584043652698282,-0.0993338332591627,-0.0386913966657889,0.734509499787626,-0.913183976809088,0.659204886654671
"ChlGlob50.Winter",-0.0279721377871237,-0.126856106581548,-0.219591077816085,-0.122777596009568,0.20890706743751,0.875076100092381,1.07670535223275,-2.03037679130123,-0.857811356551823,0.098299588298713,0.196747809298215,-0.110287234772933,-0.378127638212566,2.14431748839609,-2.31022355375751,3.3374070693857
"ChlModis15.Fall",0.0793051576889978,0.116373727186894,-0.101547836909528,-0.251048617307969,0.169364350593753,0.436738196018232,0.853905435890752,4.28933761539603,-3.66193521842777,-0.440490106083921,0.248985813409997,-0.136914005550605,-0.0409484045456489,-0.677597316187886,-1.21925572600825,3.25774379981478
"ChlModis15.Spring",0.0267114233649809,0.391629494033615,0.193326172230884,-0.0395210396120934,-0.00138438976014922,5.62194027802679,-3.28951023557162,-1.39931049553933,2.20713932576398,-0.129744287102946,0.250154487596828,-0.364624994112465,-0.0374989564806071,-0.538395186819951,0.342189515652999,-2.22444473981531
"ChlModis15.Summer",-0.0824488164652733,-0.218890306151455,-0.590981822113377,-0.535697947476132,0.696238789784138,0.365253080360395,4.27007751370521,-1.70420059371734,-6.0969505810668,0.393578893160687,0.270254313526845,-0.474592329153675,-0.70597094815455,4.82845073076422,-7.062404977865,12.0404862417257
"ChlModis15.Winter",-0.207995107842282,-0.442073918904359,-0.820159902416031,-0.141165347322246,0.560632151105873,-1.76479402102415,7.34703998949346,-11.6048223242747,-3.66389436831501,-0.792259770990872,0.135816729208622,0.413308828074543,-0.778317213084493,5.26942177988757,-3.10892763797537,9.68109719408038
"ChlModis50.Fall",0.0174505048190649,0.0170706612623298,0.0492448894415393,-0.0319821470464007,-0.0234519334473767,0.504805651822278,-0.574816824983227,1.50719251616584,-0.23543224020737,-0.126590760100576,0.0581927494470832,-0.0507119382511529,0.0410893597787964,-0.380580816616627,0.655099902104582,-0.354854947266808
"ChlModis50.Spring",-0.0176936369869749,0.00204898280947996,-0.127683015402387,-0.111351294159964,0.125331851188032,1.21125588488399,0.0016875514752344,-1.03621881218689,-0.56852264790779,0.0821660638544095,0.206362937378482,-0.187808310770773,-0.244338334767568,1.12851174717237,-1.49279714036674,2.89215487111787
"ChlModis50.Summer",-0.015171658370183,-0.00443256392606176,-0.0766366666734469,-0.109614539967977,0.102378366760178,0.442758291237467,0.244530707767138,-0.0259734704086028,-1.00176284706704,0.0587532372647978,0.0814389762982684,-0.106550069547482,-0.102121797898227,1.11346438277898,-1.21734890533847,1.48080521054831
"ChlModis50.Winter",-0.139368737043115,-0.514310242025701,-0.88581168974629,-0.422047978334501,0.732915496661023,-0.923955240752723,7.3118813542493,-5.41200963039525,-4.77115969332116,0.110980534506127,0.232334624318722,-0.0520823264246179,-1.19792644332905,4.7945694302185,-5.55456681318441,15.1231476888441
"deepGulf.Fall",-0.0638653991319499,-0.253980537423407,-0.489369890593707,-0.177797516732681,0.29309423960578,-4.97746256099069,4.57718325570882,-1.94485136326657,-4.03074848597288,0.306441500917955,-0.0998865832552665,0.088216962206655,-0.31263284652615,-3.26457148677858,0.0258341876658759,8.29812109242478
"deepGulf.Spring",-0.0433191281980142,-0.00812997213252612,-0.0389782791669469,0.125514275279664,-0.0868617072039764,0.0460988686584405,-1.00326904035705,-2.02420447292299,1.17165417394182,-0.0078010279242965,-0.111119259554962,0.247847102363267,0.249617160613464,-0.880049060383716,2.00704980097931,-4.42243967132861
"deepGulf.Summer",0.149024204676208,0.659127078931202,1.26339977106796,0.737893973824657,-1.37235162152381,-0.897358106952774,-8.30935218155622,6.87329712735076,8.69398171517867,-0.537651633328368,-0.564482686276163,0.52772830577903,1.67464624906528,-9.35204565939563,12.1460279338495,-24.8973016724802
"deepGulf.Winter",-0.147258114666274,-0.435885118193698,-0.490784929462678,-0.440881956504559,0.266592695540983,2.60889753172703,5.14931514167255,-1.65678026244355,-0.120672233682078,0.424699376650001,0.181835710662884,-0.345117163161024,-0.865859887211779,7.27644187444616,-7.18547487454372,8.95521371932309
"surfGulf.Fall",0.109476388661283,0.476941614076532,0.577407855999251,0.302644334215389,-0.527082409271762,0.0944126118117829,-4.30027179919105,2.85138186194303,3.93862792581899,-0.207204868961636,-0.204104595572547,0.125291695467096,0.791417260907905,-5.86919830678293,5.10236007042979,-8.4891672106599
"surfGulf.Spring",0.208015285614109,0.811586289827651,1.18801637730282,0.657130255767123,-0.900209052110659,2.49422529249585,-10.2405949063567,2.12419326692797,8.52878189319473,-0.453912726260336,-0.258722451966482,0.286593794178075,1.45997781466005,-8.85787841099551,9.41568579606125,-20.9874979449572
"surfGulf.Summer",0.104798790950404,0.398654479656742,0.811672545305991,0.31380865351042,-0.768964229222948,-0.169693987366797,-4.09108525014759,8.26271148598648,2.4226939716549,-0.263650931181191,-0.449309118125615,0.102986821399748,0.994850580779938,-4.1402493386076,5.74631142229706,-11.1181830497006
"surfGulf.Winter",0.0704739351451646,0.154646071239543,0.158929233937977,0.261945620175497,-0.338714099622039,1.93597931563555,-3.78748695391306,4.84897863299218,3.8951200982225,-0.800993113185476,-0.300421687167931,0.480707168760946,0.46767337070118,-6.35178596610772,7.34800051079857,-6.57677036191066
