"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8"
"ChlGlob50.Fall",0.0510233491189485,0.0214474213675154,0.0729517286041347,0.115493747502999,0.0359212395930832,0.105652345339047,0.11236500146642,0.693467356058579
"ChlGlob50.Spring",0.0155189734643083,0.164080615696815,-0.0274609992373818,0.13413666242351,0.0323875398104528,0.315536958844513,-0.355360384183004,-0.167574641870565
"ChlGlob50.Summer",0.0367916366881579,0.109530217436093,0.0648224314065902,-0.0617196014778398,0.115700074754992,0.0748383041271938,0.304234168256558,-0.285639959158642
"ChlGlob50.Winter",-0.0329996414071304,0.0983799204862623,0.0759669519994257,0.510815337903511,0.0676324892600666,0.364113366207377,0.449862120324774,-0.167801955143819
"ChlModis15.Fall",0.613965021217777,-0.0192457204401851,0.712054026174766,-0.0417975627667772,-0.276346629540625,0.0366688548458881,-0.116062416568398,-0.119410092662167
"ChlModis15.Spring",-0.0134095129631971,0.874887773191372,-0.12397704816933,-0.118726680112158,-0.414899932128062,-0.1393946057059,0.0474000739220692,0.0330926139018205
"ChlModis15.Summer",0.081327640786625,0.363415850956588,0.228649779579059,-0.121577658863155,0.825384529732539,-0.210449162434651,-0.16779798084192,0.0394339377743051
"ChlModis15.Winter",0.772343542515425,-0.0234976864928707,-0.612761813816474,-0.0255218699094669,0.113528003324927,0.0630647319988882,0.0637434421918195,0.0312670641440404
"ChlModis50.Fall",0.0656927092857679,0.0344683674845343,0.172793673344518,-0.00995654418434001,0.00403949650096532,-0.014648334081509,0.366283514775307,0.522897813069145
"ChlModis50.Spring",0.00239224012809277,0.188493820172751,-0.00340749671040234,0.425280170957953,0.0656243741319618,0.463577119684395,-0.398508611918957,0.153060926113273
"ChlModis50.Summer",0.0403271194580793,0.125703285148467,0.0614238103578372,-0.00502376592135349,0.178522015456976,0.120863669362233,0.473844753489617,-0.24941585011636
"ChlModis50.Winter",0.0922174163384373,-0.000736514247321412,-0.0126434768448916,0.701187409206242,-0.0291448468035319,-0.672552508542579,-0.0268426831172835,-0.0657988653960286
