"Variable","Method","Dates","Breaks"
"bottomT","MeanVar","2019-05-03","9619"
"bottomT","Mean","2019-05-02","9618"
"bottomT","Var","2020-05-27","10009"
"sst","MeanVar","1993-05-04","124"
"sst","Mean","1993-05-04","124"
"mixedlayer","MeanVar","1993-03-24","83"
"mixedlayer","Mean","1993-03-20","79"
