"Lat","Lon","Date","Breaks"
"28.5200000000002","-80.4400000000002","1993-03-19","78"
"28.5200000000002","-80.4000000000002","1993-03-24","83"
"28.5200000000002","-80.3600000000002","1993-03-21","80"
"28.5200000000002","-80.3200000000002","1993-03-17","76"
"28.5200000000002","-80.2800000000002","1994-10-04","642"
"28.5200000000002","-80.2400000000002","1998-12-15","2175"
"28.5200000000002","-80.2000000000002","1998-12-15","2175"
"28.5200000000002","-80.1600000000002","1998-12-15","2175"
"28.5200000000002","-80.1200000000002","1998-12-29","2189"
"28.5200000000002","-80.0800000000002","1999-10-23","2487"
"28.5200000000002","-79.9600000000002","1998-10-16","2115"
"28.5200000000002","-79.9200000000002","1998-10-16","2115"
"28.5200000000002","-79.8800000000002","2014-11-01","7975"
"28.5200000000002","-79.8400000000002","2014-11-01","7975"
"28.5200000000002","-79.8000000000002","2014-11-01","7975"
"28.5200000000002","-79.7600000000002","2014-11-01","7975"
"28.5200000000002","-79.7200000000002","2014-10-31","7974"
"28.5200000000002","-79.6800000000002","2014-10-31","7974"
"28.5600000000002","-80.4800000000002","1993-02-16","47"
"28.5600000000002","-80.4400000000002","1993-03-24","83"
"28.5600000000002","-80.4000000000002","1993-03-17","76"
"28.5600000000002","-80.3600000000002","1993-03-17","76"
"28.5600000000002","-80.2800000000002","2016-10-06","8680"
"28.5600000000002","-80.2400000000002","1998-12-15","2175"
"28.5600000000002","-80.2000000000002","1998-12-15","2175"
"28.5600000000002","-80.1600000000002","1998-12-15","2175"
"28.5600000000002","-80.1200000000002","1998-12-29","2189"
"28.5600000000002","-80.0800000000002","1998-12-22","2182"
"28.5600000000002","-80.0000000000002","1998-10-19","2118"
"28.5600000000002","-79.9600000000002","1998-10-16","2115"
"28.5600000000002","-79.9200000000002","1998-10-16","2115"
"28.5600000000002","-79.8800000000002","2014-11-01","7975"
"28.5600000000002","-79.8400000000002","2014-11-01","7975"
"28.5600000000002","-79.8000000000002","2014-11-01","7975"
"28.5600000000002","-79.7600000000002","2014-11-01","7975"
"28.5600000000002","-79.7200000000002","2014-10-31","7974"
"28.5600000000002","-79.6800000000002","2014-10-31","7974"
"28.6000000000002","-80.5600000000002","1993-01-05","5"
"28.6000000000002","-80.5200000000002","2019-09-01","9740"
"28.6000000000002","-80.4800000000002","1993-02-16","47"
"28.6000000000002","-80.4400000000002","1993-03-19","78"
"28.6000000000002","-80.4000000000002","1993-03-17","76"
"28.6000000000002","-80.3600000000002","1993-03-21","80"
"28.6000000000002","-80.2800000000002","1998-10-22","2121"
"28.6000000000002","-80.2400000000002","1998-12-15","2175"
"28.6000000000002","-80.2000000000002","1998-12-15","2175"
"28.6000000000002","-80.1600000000002","1998-12-15","2175"
"28.6000000000002","-80.1200000000002","1998-12-29","2189"
"28.6000000000002","-80.0800000000002","1998-12-22","2182"
"28.6000000000002","-79.9600000000002","1998-10-16","2115"
"28.6000000000002","-79.9200000000002","1998-10-16","2115"
"28.6000000000002","-79.8800000000002","2014-11-01","7975"
"28.6000000000002","-79.8400000000002","2014-11-01","7975"
"28.6000000000002","-79.8000000000002","2014-11-01","7975"
"28.6000000000002","-79.7600000000002","2014-11-01","7975"
"28.6000000000002","-79.7200000000002","2014-10-31","7974"
"28.6000000000002","-79.6800000000002","2014-10-31","7974"
"28.6400000000002","-80.5600000000002","1993-01-06","6"
"28.6400000000002","-80.5200000000002","1993-01-06","6"
"28.6400000000002","-80.4800000000002","1993-03-24","83"
"28.6400000000002","-80.4400000000002","1993-03-24","83"
"28.6400000000002","-80.4000000000002","1993-03-24","83"
"28.6400000000002","-80.3600000000002","1993-03-17","76"
"28.6400000000002","-80.3200000000002","1993-03-17","76"
"28.6400000000002","-80.2800000000002","2016-10-08","8682"
"28.6400000000002","-80.2400000000002","1998-12-15","2175"
"28.6400000000002","-80.2000000000002","1998-12-15","2175"
"28.6400000000002","-80.1600000000002","1999-01-01","2192"
"28.6400000000002","-80.1200000000002","1998-12-29","2189"
"28.6400000000002","-80.0800000000002","1998-12-22","2182"
"28.6400000000002","-79.9600000000002","1998-10-16","2115"
"28.6400000000002","-79.9200000000002","1998-10-16","2115"
"28.6400000000002","-79.8800000000002","2014-11-01","7975"
"28.6400000000002","-79.8400000000002","2014-11-01","7975"
"28.6400000000002","-79.8000000000002","2014-11-01","7975"
"28.6400000000002","-79.7600000000002","2014-10-31","7974"
"28.6400000000002","-79.7200000000002","2014-10-31","7974"
"28.6400000000002","-79.6800000000002","2014-10-31","7974"
"28.6800000000002","-80.6400000000002","1993-01-04","4"
"28.6800000000002","-80.6000000000002","1993-01-05","5"
"28.6800000000002","-80.5600000000002","1993-03-23","82"
"28.6800000000002","-80.5200000000002","1993-02-12","43"
"28.6800000000002","-80.4800000000002","1993-03-24","83"
"28.6800000000002","-80.4400000000002","1993-03-22","81"
"28.6800000000002","-80.4000000000002","1993-03-24","83"
"28.6800000000002","-80.3600000000002","1993-03-21","80"
"28.6800000000002","-80.3200000000002","2016-10-06","8680"
"28.6800000000002","-80.2800000000002","2016-10-06","8680"
"28.6800000000002","-80.2400000000002","1998-12-15","2175"
"28.6800000000002","-80.2000000000002","1998-12-15","2175"
"28.6800000000002","-80.1600000000002","1998-12-31","2191"
"28.6800000000002","-80.1200000000002","1998-12-29","2189"
"28.6800000000002","-80.0800000000002","1998-12-22","2182"
"28.6800000000002","-80.0400000000002","1993-03-24","83"
"28.6800000000002","-79.9600000000002","1998-10-16","2115"
"28.6800000000002","-79.9200000000002","2014-11-01","7975"
