"Lat","Lon","Date","Breaks"
"28.5200000000002","-80.2400000000002","2012-03-18","7017"
"28.5200000000002","-80.2000000000002","2012-03-18","7017"
"28.5200000000002","-80.1600000000002","2012-03-18","7017"
"28.5200000000002","-80.1200000000002","2011-10-07","6854"
"28.5200000000002","-80.0800000000002","2011-10-02","6849"
"28.5200000000002","-80.0400000000002","2011-04-08","6672"
"28.5200000000002","-80.0000000000002","2011-10-03","6850"
"28.5200000000002","-79.9600000000002","2011-10-04","6851"
"28.5200000000002","-79.9200000000002","2011-10-03","6850"
"28.5200000000002","-79.8800000000002","2011-10-04","6851"
"28.5600000000002","-80.4400000000002","2002-07-03","3471"
"28.5600000000002","-80.2400000000002","2012-03-18","7017"
"28.5600000000002","-80.2000000000002","2012-03-18","7017"
"28.5600000000002","-80.1600000000002","2012-03-18","7017"
"28.5600000000002","-80.1200000000002","2011-10-07","6854"
"28.5600000000002","-80.0800000000002","2011-10-02","6849"
"28.5600000000002","-80.0400000000002","2011-04-08","6672"
"28.5600000000002","-80.0000000000002","2011-10-03","6850"
"28.5600000000002","-79.9600000000002","2011-10-04","6851"
"28.5600000000002","-79.9200000000002","2011-10-03","6850"
"28.5600000000002","-79.8800000000002","2011-10-04","6851"
"28.6000000000002","-80.4400000000002","2002-07-03","3471"
"28.6000000000002","-80.2800000000002","2011-10-04","6851"
"28.6000000000002","-80.2400000000002","2012-03-18","7017"
"28.6000000000002","-80.2000000000002","2012-03-18","7017"
"28.6000000000002","-80.1600000000002","2012-03-18","7017"
"28.6000000000002","-80.1200000000002","2011-10-07","6854"
"28.6000000000002","-80.0800000000002","2011-10-05","6852"
"28.6000000000002","-80.0400000000002","2011-04-08","6672"
"28.6000000000002","-80.0000000000002","2011-10-03","6850"
"28.6000000000002","-79.9600000000002","2011-10-04","6851"
"28.6000000000002","-79.9200000000002","2011-10-03","6850"
"28.6000000000002","-79.8800000000002","2011-10-04","6851"
"28.6400000000002","-80.4800000000002","2002-07-03","3471"
"28.6400000000002","-80.4400000000002","2002-07-03","3471"
"28.6400000000002","-80.2800000000002","2011-10-08","6855"
"28.6400000000002","-80.2400000000002","2012-03-18","7017"
"28.6400000000002","-80.2000000000002","2012-03-18","7017"
"28.6400000000002","-80.1600000000002","2012-03-17","7016"
"28.6400000000002","-80.1200000000002","2011-10-07","6854"
"28.6400000000002","-80.0800000000002","2011-10-05","6852"
"28.6400000000002","-80.0400000000002","2011-04-08","6672"
"28.6400000000002","-80.0000000000002","2011-10-03","6850"
"28.6400000000002","-79.9600000000002","2011-10-04","6851"
"28.6400000000002","-79.9200000000002","2011-10-03","6850"
"28.6400000000002","-79.8800000000002","2011-10-04","6851"
"28.6800000000002","-80.4800000000002","2002-07-03","3471"
"28.6800000000002","-80.4400000000002","2002-07-03","3471"
"28.6800000000002","-80.2800000000002","2011-10-04","6851"
"28.6800000000002","-80.2400000000002","2012-03-18","7017"
"28.6800000000002","-80.2000000000002","2012-03-18","7017"
"28.6800000000002","-80.1600000000002","2012-03-17","7016"
"28.6800000000002","-80.1200000000002","2011-10-07","6854"
"28.6800000000002","-80.0800000000002","2011-10-05","6852"
"28.6800000000002","-80.0400000000002","2011-10-02","6849"
"28.6800000000002","-80.0000000000002","2011-10-04","6851"
"28.6800000000002","-79.9600000000002","2011-10-04","6851"
"28.6800000000002","-79.9200000000002","2011-10-03","6850"
"28.6800000000002","-79.8800000000002","2011-10-04","6851"
"28.7200000000002","-80.5200000000002","2002-07-03","3471"
"28.7200000000002","-80.4800000000002","2002-07-03","3471"
"28.7200000000002","-80.2800000000002","2012-03-18","7017"
"28.7200000000002","-80.2400000000002","2012-03-18","7017"
"28.7200000000002","-80.2000000000002","2012-03-18","7017"
"28.7200000000002","-80.1600000000002","2012-03-17","7016"
"28.7200000000002","-80.1200000000002","2011-10-07","6854"
"28.7200000000002","-80.0800000000002","2011-10-05","6852"
"28.7200000000002","-80.0400000000002","2011-10-02","6849"
"28.7200000000002","-80.0000000000002","2011-10-04","6851"
"28.7200000000002","-79.9600000000002","2011-10-04","6851"
"28.7200000000002","-79.9200000000002","2011-10-03","6850"
"28.7200000000002","-79.8800000000002","2011-10-04","6851"
"28.7600000000002","-80.5600000000002","2002-07-03","3471"
"28.7600000000002","-80.5200000000002","2002-07-03","3471"
"28.7600000000002","-80.4800000000002","2002-07-03","3471"
"28.7600000000002","-80.3200000000002","2011-10-03","6850"
"28.7600000000002","-80.2800000000002","2012-03-18","7017"
"28.7600000000002","-80.2400000000002","2012-03-18","7017"
"28.7600000000002","-80.2000000000002","2012-03-18","7017"
"28.7600000000002","-80.1600000000002","2012-03-17","7016"
"28.7600000000002","-80.1200000000002","2011-10-07","6854"
"28.7600000000002","-80.0800000000002","2011-10-05","6852"
"28.7600000000002","-80.0400000000002","2011-10-02","6849"
"28.7600000000002","-80.0000000000002","2011-10-04","6851"
"28.7600000000002","-79.9600000000002","2011-10-04","6851"
"28.7600000000002","-79.9200000000002","2011-10-03","6850"
"28.7600000000002","-79.8800000000002","2011-10-04","6851"
"28.8000000000002","-80.6000000000002","2004-01-10","4027"
"28.8000000000002","-80.5600000000002","2002-07-03","3471"
"28.8000000000002","-80.5200000000002","2002-07-03","3471"
"28.8000000000002","-80.3200000000002","2011-10-03","6850"
"28.8000000000002","-80.2800000000002","2012-03-18","7017"
"28.8000000000002","-80.2400000000002","2012-03-18","7017"
"28.8000000000002","-80.2000000000002","2012-03-18","7017"
"28.8000000000002","-80.1600000000002","2011-10-07","6854"
