"Event","lat","lon","depth","temp","date","year","month","day"
"2011-1087",31.5958271,-80.79850769,19,NA,2011-09-14,2011,9,14
"2011-1088",31.57476044,-80.75606537,19,NA,2011-09-14,2011,9,14
"2011-1089",31.57990456,-80.37657928,31,28.81260014,2011-09-15,2011,9,15
"2011-109",32.76377,-78.62257,31,27.07124996,2011-09-22,2011,9,22
"2011-1091",31.56811142,-80.36267853,32,28.76712465,2011-09-15,2011,9,15
"2011-1093",29.16347694,-80.54020691,26,24.7468996,2011-09-17,2011,9,17
"2011-1094",28.99545479,-80.27153015,43,23.63141805,2011-09-17,2011,9,17
"2011-1095",27.28059196,-80.01672363,49,23.44189962,2011-09-18,2011,9,18
"2011-1096",27.28098869,-80.02063751,46,24.20250034,2011-09-18,2011,9,18
"2011-1098",27.79457283,-80.01039124,57,24.46759987,2011-09-19,2011,9,19
"2011-1099",27.74826431,-80.01990509,52,24.70673307,2011-09-19,2011,9,19
"2011-110",32.6488,-78.55503,70,23.9727993,2011-09-22,2011,9,22
"2011-1100",29.91402054,-80.28533173,54,25.83019924,2011-09-20,2011,9,20
"2011-1101",30.09480476,-80.27416229,53,24.40637294,2011-09-20,2011,9,20
"2011-1102",29.96515274,-80.28368378,57,26.02964973,2011-09-20,2011,9,20
"2011-1104",31.68228149,-80.34853363,30,27.38930035,2011-09-21,2011,9,21
"2011-1106",31.26702499,-80.42624664,36,27.97510052,2011-09-22,2011,9,22
"2011-1107",31.2196579,-79.8914566,50,27.38670063,2011-09-22,2011,9,22
"2011-111",32.60235,-78.58134,47,26.36420059,2011-09-22,2011,9,22
"2011-112",32.59745,-79.224,29,26.62405014,2011-09-23,2011,9,23
"2011-113",32.23878,-79.69769,27,26.72550011,2011-10-04,2011,10,4
"2011-114",32.25393,-79.67741,28,26.75029945,2011-10-04,2011,10,4
"2011-115",31.3851,-80.87783,17,22.95477486,2011-10-25,2011,10,25
"2011-116",31.37848,-80.89222,16,NA,2011-10-25,2011,10,25
"2011-117",31.40148,-80.84527,16,23.06760025,2011-10-25,2011,10,25
"2011-118",31.37775,-80.8361,17,23.07547522,2011-10-26,2011,10,26
"2011-119",31.37492,-80.88385,15,22.91410001,2011-10-26,2011,10,26
"2011-125",33.77475,-77.48662,26,NA,2011-05-16,2011,5,16
"2011-135",32.0065,-79.67042,40,20.21112537,2011-05-24,2011,5,24
"2011-147",34.53873,-76.40148,16,22.57394981,2011-06-09,2011,6,9
"2011-149",34.26205,-76.8227,27,20.77119954,2011-06-10,2011,6,10
"2011-167",32.33468,-79.05611,49,22.14249992,2011-08-11,2011,8,11
"2011-180",32.34493,-79.60112,24,26.16532516,2011-10-04,2011,10,4
"2011-182",32.3534,-79.63018,25,26.03119946,2011-10-05,2011,10,5
"2011-189",32.55,-79.36068,24,24.37042863,2011-10-13,2011,10,13
"2011-20",32.25383,-79.70292,26,NA,2011-05-03,2011,5,3
"2011-21",32.2296,-79.70097,27,NA,2011-05-03,2011,5,3
"2011-22",32.48625,-79.68333,17,NA,2011-05-03,2011,5,3
"2011-23",33.2857,-77.81987,28,NA,2011-05-12,2011,5,12
"2011-24",33.26382,-77.82352,31,NA,2011-05-12,2011,5,12
"2011-26",33.7551,-76.63903,84,NA,2011-05-13,2011,5,13
"2011-29",33.94152,-76.50607,41,NA,2011-05-13,2011,5,13
"2011-31",33.86467,-77.28902,30,NA,2011-05-14,2011,5,14
"2011-34",33.82302,-77.27063,30,NA,2011-05-14,2011,5,14
"2011-35",33.83852,-77.26573,30,NA,2011-05-14,2011,5,14
"2011-36",34.00303,-77.36325,24,NA,2011-05-15,2011,5,15
"2011-37",34.00566,-77.39355,25,NA,2011-05-15,2011,5,15
"2011-38",33.99558,-77.3685,24,NA,2011-05-15,2011,5,15
"2011-39",33.79917,-77.63206,21,NA,2011-05-16,2011,5,16
"2011-40",33.73385,-77.28616,30,NA,2011-05-16,2011,5,16
"2011-41",33.94308,-76.75768,37,NA,2011-05-18,2011,5,18
"2011-42",33.77547,-76.84753,38,NA,2011-05-18,2011,5,18
"2011-46",32.28133,-79.71838,24,21.67344952,2011-05-23,2011,5,23
"2011-47",32.0283,-79.44033,49,19.62479973,2011-05-24,2011,5,24
"2011-49",32.25125,-79.18005,49,19.41380024,2011-05-25,2011,5,25
"2011-50",32.25082,-79.03833,93,16.94166031,2011-05-25,2011,5,25
"2011-51",32.29972,-79.04282,73,17.52127504,2011-05-25,2011,5,25
"2011-52",32.3371,-79.05645,52,18.84626045,2011-05-25,2011,5,25
"2011-53",32.40097,-78.99952,52,17.97125969,2011-05-26,2011,5,26
"2011-54",32.44207,-78.95251,48,18.54504991,2011-05-26,2011,5,26
"2011-56",32.33437,-79.20341,42,19.86308384,2011-05-26,2011,5,26
"2011-59",34.27902,-76.83907,26,21.00860023,2011-06-10,2011,6,10
"2011-60",34.2657,-76.8283,27,20.86139965,2011-06-10,2011,6,10
