"Event","lat","lon","depth","temp","date","year","month","day"
"2012-27",33.79917,-77.63233,22,24.71559906,2012-06-19,2012,6,19
"2012-28",33.92659,-76.75513,39,24.11880016,2012-06-20,2012,6,20
"2012-29",33.94495,-76.51017,41,23.76974964,2012-06-20,2012,6,20
"2012-3",32.02896,-79.43847,52,NA,2012-05-01,2012,5,1
"2012-30",33.74806,-76.64906,85,19.08270073,2012-06-20,2012,6,20
"2012-31",32.87155,-78.26988,46,24.63769976,2012-06-21,2012,6,21
"2012-32",32.8535,-78.26267,47,24.38199997,2012-06-21,2012,6,21
"2012-33",32.696,-78.54629,44,25.79610062,2012-06-21,2012,6,21
"2012-34",32.76546,-78.61516,32,25.67190075,2012-06-21,2012,6,21
"2012-35",33.77483,-77.4865,28,24.69020081,2012-06-19,2012,6,19
"2012-36",33.42567,-77.05283,82,19.18650055,2012-07-10,2012,7,10
"2012-37",33.4513,-76.99876,94,19.19540024,2012-07-10,2012,7,10
"2012-38",33.77533,-76.847,40,24.49155045,2012-07-10,2012,7,10
"2012-39",34.57761,-76.94629,16,26.26500034,2012-07-11,2012,7,11
"2012-4",32.26772,-79.16798,47,NA,2012-05-02,2012,5,2
"2012-40",34.446,-76.90667,24,24.32299995,2012-07-11,2012,7,11
"2012-41",34.31083,-76.89433,25,24.79570007,2012-07-11,2012,7,11
"2012-42",34.31867,-76.87717,24,27.62689972,2012-07-11,2012,7,11
"2012-43",34.27016,-76.81324,27,24.73970032,2012-07-12,2012,7,12
"2012-44",34.2767,-76.83681,28,24.77054977,2012-07-12,2012,7,12
"2012-45",34.38822,-76.59303,22,24.77730052,2012-07-12,2012,7,12
"2012-46",34.27917,-76.5865,28,24.76574993,2012-07-13,2012,7,13
"2012-47",34.23984,-76.39438,31,24.17639923,2012-07-13,2012,7,13
"2012-5",32.3375,-79.05633,52,NA,2012-05-02,2012,5,2
"2012-51",32.64841,-78.55494,73,20.10409927,2012-07-16,2012,7,16
"2012-52",32.28019,-79.72719,25,21.68369961,2012-07-30,2012,7,30
"2012-53",32.23683,-79.69367,28,20.37170029,2012-07-30,2012,7,30
"2012-54",32.24133,-79.685,30,20.18563366,2012-07-30,2012,7,30
"2012-55",32.551,-79.35867,22,21.16966629,2012-07-31,2012,7,31
"2012-56",32.58033,-79.34267,25,20.79000092,2012-07-31,2012,7,31
"2012-57",32.4885,-78.9305,45,20.05560017,2012-08-01,2012,8,1
"2012-58",32.4205,-78.97767,52,19.90800095,2012-08-01,2012,8,1
"2012-59",32.40117,-78.99983,51,19.55290031,2012-08-01,2012,8,1
"2012-6",32.33636,-79.04343,57,NA,2012-05-02,2012,5,2
"2012-60",32.2499,-79.04661,91,18.3617506,2012-08-02,2012,8,2
"2012-61",32.28325,-79.04465,77,18.77540016,2012-08-02,2012,8,2
"2012-62",32.53317,-79.54283,20,24.87759972,2012-08-07,2012,8,7
"2012-63",32.09876,-79.22645,72,18.42545033,2012-08-08,2012,8,8
"2012-65",32.2475,-79.18346,49,20.75810051,2012-08-08,2012,8,8
"2012-66",32.47777,-78.81466,63,19.78829956,2012-08-09,2012,8,9
"2012-67",32.61347,-78.58022,50,21.30439949,2012-08-09,2012,8,9
"2012-68",32.79517,-78.6435,34,22.12065029,2012-08-09,2012,8,9
"2012-69",33.2865,-78.44167,24,23.4116993,2012-08-14,2012,8,14
"2012-7",32.4391,-78.95619,48,NA,2012-05-03,2012,5,3
"2012-70",33.282,-78.46983,25,23.38573329,2012-08-14,2012,8,14
"2012-71",33.29983,-78.44917,23,23.59889984,2012-08-14,2012,8,14
"2012-72",33.47233,-78.24483,24,23.65399933,2012-08-14,2012,8,14
"2012-73",32.76,-78.4955,41,18.56209946,2012-08-15,2012,8,15
"2012-74",32.48467,-78.83367,50,19.81210041,2012-08-15,2012,8,15
"2012-76",32.86978,-78.26613,45,22.58670044,2012-08-30,2012,8,30
"2012-78",33.05525,-78.62982,26,26.89124966,2012-09-19,2012,9,19
"2012-79",32.8665,-78.29083,41,21.13319969,2012-10-10,2012,10,10
"2012-8",32.58683,-79.15,33,21.35070038,2012-05-03,2012,5,3
"2012-80",32.954,-78.7445,30,25.95732498,2012-10-10,2012,10,10
"2012-81",32.80719,-78.61287,35,25.85899989,2012-10-10,2012,10,10
"2012-9",32.601,-79.22317,30,NA,2012-05-03,2012,5,3
"2013-1",32.34866,-79.58,29,19.85311454,2013-04-24,2013,4,24
"2013-10",32.48116,-78.89917,45,22.32232523,2013-05-15,2013,5,15
"2013-1001",31.62254524,-80.56352997,25,19.4081,2013-04-30,2013,4,30
"2013-1002",29.7655468,-80.45530701,35,22.05866,2013-05-01,2013,5,1
"2013-1003",29.7360096,-80.46853638,35,22.326075,2013-05-01,2013,5,1
"2013-1004",29.76094246,-80.45276642,37,22.44225,2013-05-01,2013,5,1
"2013-101",34.392,-76.5615,20,24.3668499,2013-10-03,2013,10,3
"2013-1010",29.15712166,-80.23261261,51,22.72589714,2013-05-06,2013,5,6
"2013-1011",29.00708961,-80.19231415,53,22.55888,2013-05-06,2013,5,6
"2013-1015",29.87905884,-80.28607941,54,21.55382857,2013-05-08,2013,5,8
"2013-1016",29.93264008,-80.28553009,55,22.51886,2013-05-08,2013,5,8
"2013-1017",29.94241905,-80.28491974,55,22.7372,2013-05-08,2013,5,8
"2013-1018",31.15609169,-79.9103241,49,20.55444118,2013-05-09,2013,5,9
"2013-1019",31.25058365,-79.87993622,51,22.15189109,2013-05-09,2013,5,9
"2013-102",34.13316,-76.82177,31,25.92830086,2013-10-03,2013,10,3
"2013-1020",31.27605247,-79.87006378,49,22.37250769,2013-05-09,2013,5,9
"2013-1021",31.58549309,-80.39715576,31,22.5682,2013-05-24,2013,5,24
"2013-1022",31.57998085,-80.37669373,31,22.53926207,2013-05-24,2013,5,24
"2013-1023",31.68117905,-80.32817078,29,22.91148571,2013-05-24,2013,5,24
"2013-1024",31.68679047,-80.32888031,30,22.93594444,2013-05-24,2013,5,24
"2013-1025",30.51107025,-80.47855377,38,23.17558,2013-05-25,2013,5,25
"2013-1026",30.50682068,-80.57982635,35,24.01055455,2013-05-25,2013,5,25
"2013-1027",30.51136398,-80.64052582,33,24.1357,2013-05-25,2013,5,25
"2013-1028",29.16248512,-80.53907776,28,21.99741029,2013-05-26,2013,5,26
"2013-1029",29.16700554,-80.57071686,27,22.25769512,2013-05-26,2013,5,26
"2013-103",34.10016,-76.82483,32,26.15390015,2013-10-03,2013,10,3
"2013-1030",29.12244415,-80.49662781,26,22.06933784,2013-05-26,2013,5,26
"2013-1031",29.14575958,-80.31056213,43,21.58416667,2013-05-26,2013,5,26
"2013-1032",27.84755135,-80.1523056,27,22.7308,2013-05-27,2013,5,27
"2013-1033",27.75535774,-80.01096344,56,18.642,2013-05-27,2013,5,27
"2013-1034",27.46348,-80.07287598,23,23.381,2013-05-27,2013,5,27
"2013-1035",27.43539619,-80.06911469,24,23.14722,2013-05-28,2013,5,28
"2013-1036",27.33165359,-80.06741333,25,21.96971053,2013-05-28,2013,5,28
"2013-1037",27.74788475,-80.12928009,27,21.8821,2013-05-28,2013,5,28
"2013-1038",29.09474945,-80.58769226,21,22.34751,2013-05-29,2013,5,29
"2013-1039",29.15371513,-80.82276917,22,23.88045,2013-05-29,2013,5,29
"2013-104",33.28566,-77.81983,29,26.91760063,2013-10-04,2013,10,4
"2013-1040",29.51246262,-80.94497681,22,24.25026667,2013-05-29,2013,5,29
"2013-1041",31.26991653,-80.41954803,37,22.68063333,2013-05-30,2013,5,30
"2013-1042",31.4301033,-80.34268188,39,23.07833333,2013-05-30,2013,5,30
"2013-1043",31.42787933,-80.32520294,39,23.07086,2013-05-30,2013,5,30
"2013-1044",31.42396545,-80.55687714,29,23.0558,2013-05-30,2013,5,30
"2013-1045",31.36723518,-80.57676697,29,23.19894186,2013-05-31,2013,5,31
"2013-1046",30.91450119,-80.59007263,35,22.05836,2013-05-31,2013,5,31
"2013-1047",30.89885902,-80.60115814,34,22.04386,2013-05-31,2013,5,31
"2013-1048",30.4867115,-80.19200134,57,12.36631796,2013-06-14,2013,6,14
"2013-1049",30.47543907,-80.19580841,54,13.04615437,2013-06-14,2013,6,14
"2013-105",33.26765,-77.8251,30,26.86459923,2013-10-04,2013,10,4
"2013-1050",30.45535469,-80.20217133,51,12.70084917,2013-06-14,2013,6,14
"2013-1051",30.44088173,-80.20666504,52,13.02765,2013-06-14,2013,6,14
"2013-1052",30.48607254,-80.19674683,47,15.58167157,2013-06-15,2013,6,15
"2013-1053",30.44423676,-80.20492554,52,15.20805818,2013-06-15,2013,6,15
"2013-1054",30.46652603,-80.20751953,49,15.75268974,2013-06-15,2013,6,15
"2013-1055",30.48044586,-80.20626068,47,16.27080757,2013-06-15,2013,6,15
"2013-1056",29.90821648,-80.56866455,38,19.56243529,2013-06-16,2013,6,16
"2013-1057",29.90978432,-80.52236176,38,18.84173614,2013-06-16,2013,6,16
"2013-1058",29.90953255,-80.55658722,38,19.32013607,2013-06-16,2013,6,16
"2013-1059",29.68202019,-80.73960876,32,23.1819,2013-06-17,2013,6,17
"2013-1060",29.65898514,-80.85432434,27,23.16254129,2013-06-17,2013,6,17
"2013-1061",29.78321266,-80.74040985,31,21.902435,2013-06-17,2013,6,17
"2013-1062",29.75748825,-80.46453094,38,NA,2013-06-18,2013,6,18
"2013-1063",29.69976234,-80.44712067,37,19.04486476,2013-06-18,2013,6,18
"2013-1064",29.61705589,-80.54027557,33,21.08196667,2013-06-18,2013,6,18
"2013-1065",29.4660511,-80.4389267,34,20.64340532,2013-06-19,2013,6,19
"2013-1066",29.49956703,-80.45679474,31,20.15416923,2013-06-19,2013,6,19
"2013-1067",29.40418434,-80.35770416,40,17.68336491,2013-06-20,2013,6,20
"2013-1068",29.36147499,-80.46556854,27,19.45287005,2013-06-20,2013,6,20
"2013-1069",29.35077858,-80.46083069,29,18.7421543,2013-06-20,2013,6,20
"2013-1070",29.29654121,-80.43222809,31,18.76586881,2013-06-21,2013,6,21
"2013-1071",29.26779938,-80.44494629,31,18.92708769,2013-06-21,2013,6,21
"2013-1072",29.24805832,-80.43430328,29,18.67069587,2013-06-21,2013,6,21
"2013-1073",29.03723335,-80.48173523,24,17.71180374,2013-06-22,2013,6,22
"2013-1074",29.0289669,-80.46736908,23,18.23946343,2013-06-22,2013,6,22
"2013-1075",29.00252151,-80.43819427,24,17.924116,2013-06-22,2013,6,22
"2013-1076",29.01221657,-80.47128296,22,18.43195468,2013-06-23,2013,6,23
"2013-1077",29.02075958,-80.48068237,21,19.06254221,2013-06-23,2013,6,23
"2013-1078",29.00169373,-80.44017029,24,18.31673109,2013-06-23,2013,6,23
"2013-1079",29.27287483,-80.57273865,32,18.91859667,2013-06-24,2013,6,24
"2013-1080",29.21098709,-80.6886673,26,20.71326609,2013-06-24,2013,6,24
"2013-1081",29.1715107,-80.58971405,24,19.40457935,2013-06-24,2013,6,24
"2013-1082",28.1859417,-80.23127747,29,18.49716667,2013-06-25,2013,6,25
"2013-1083",28.19793129,-80.23348236,25,18.49755431,2013-06-25,2013,6,25
"2013-1084",28.23927116,-80.24803162,26,19.40550274,2013-06-25,2013,6,25
"2013-1085",28.27293015,-80.14038849,41,17.75762297,2013-06-26,2013,6,26
"2013-1086",28.25439835,-80.13585663,44,18.56339289,2013-06-26,2013,6,26
"2013-1087",31.98281097,-79.36894226,70,24.20971282,2013-07-18,2013,7,18
"2013-1088",31.94306755,-79.42585754,67,15.95867949,2013-07-18,2013,7,18
"2013-1089",32.01169586,-79.97615814,31,24.60435155,2013-07-19,2013,7,19
"2013-1090",32.0121994,-79.93781281,32,23.86463636,2013-07-19,2013,7,19
"2013-1092",32.09127808,-79.97251129,28,24.33318636,2013-07-20,2013,7,20
"2013-1093",32.07348251,-79.95271301,29,24.27783022,2013-07-20,2013,7,20
"2013-1094",32.06481552,-79.9109726,32,23.0564375,2013-07-20,2013,7,20
"2013-1095",31.95308495,-80.29930115,26,27.21912813,2013-07-21,2013,7,21
"2013-1096",31.92012405,-80.28577423,26,27.17436667,2013-07-21,2013,7,21
"2013-1097",31.90514946,-80.28210449,26,27.21596579,2013-07-21,2013,7,21
"2013-1098",31.83093452,-80.14378357,34,22.85320692,2013-07-22,2013,7,22
"2013-1099",31.87856483,-80.01893616,36,21.84585,2013-07-22,2013,7,22
"2013-11",32.5799,-79.34226,25,22.44957471,2013-05-20,2013,5,20
"2013-1100",31.52954483,-79.83068085,50,17.91757059,2013-07-23,2013,7,23
"2013-1101",30.99049759,-80.08385468,42,26.73528421,2013-07-24,2013,7,24
"2013-1102",30.36144257,-80.84894562,37,18.46432813,2013-07-25,2013,7,25
"2013-1103",30.37375832,-80.86408234,34,20.3412,2013-07-25,2013,7,25
"2013-1104",29.78738976,-80.29573059,54,17.07007857,2013-07-26,2013,7,26
"2013-1105",29.77742004,-80.2957077,54,17.14047736,2013-07-26,2013,7,26
"2013-1106",29.72485161,-80.28752136,57,16.79501008,2013-07-26,2013,7,26
"2013-1107",29.51271248,-80.30471802,47,14.85253333,2013-07-27,2013,7,27
"2013-1108",29.47247505,-80.30001831,49,14.40693846,2013-07-27,2013,7,27
"2013-1110",29.18121338,-80.38344574,31,16.27205514,2013-07-28,2013,7,28
"2013-1111",29.20183754,-80.38297272,33,16.63723206,2013-07-28,2013,7,28
"2013-1112",29.2164135,-80.39452362,31,16.8769325,2013-07-28,2013,7,28
"2013-1113",29.25053024,-80.34199524,37,14.77244318,2013-07-28,2013,7,28
"2013-1114",29.07268715,-80.38256836,32,16.2600833,2013-07-29,2013,7,29
"2013-1117",28.94610596,-80.36099243,32,16.9755,2013-07-29,2013,7,29
"2013-1118",28.93413162,-80.48218536,20,19.00601556,2013-07-30,2013,7,30
"2013-1119",28.92015266,-80.47968292,20,19.22015066,2013-07-30,2013,7,30
"2013-1120",28.87998772,-80.47264862,20,19.56210806,2013-07-30,2013,7,30
"2013-1123",28.74330711,-80.44468689,21,19.48537797,2013-07-31,2013,7,31
"2013-1124",31.28190994,-79.86725616,51,19.45013438,2013-08-14,2013,8,14
"2013-1125",31.04631615,-80.03830719,49,20.5169,2013-08-14,2013,8,14
"2013-1126",31.09544182,-79.92791748,54,17.37755714,2013-08-14,2013,8,14
"2013-1127",30.73994446,-80.22029877,44,23.73718621,2013-08-15,2013,8,15
"2013-1128",30.64673424,-80.20839691,44,22.90214545,2013-08-15,2013,8,15
"2013-1129",30.49660301,-80.26016998,46,22.064312,2013-08-15,2013,8,15
"2013-1130",30.40909386,-80.21408844,54,18.77855,2013-08-16,2013,8,16
"2013-1131",30.3976593,-80.21631622,55,17.14462143,2013-08-16,2013,8,16
"2013-1132",30.37888336,-80.33633423,42,23.6154,2013-08-16,2013,8,16
"2013-1133",28.7093811,-80.14028168,54,14.58895,2013-08-17,2013,8,17
"2013-1134",28.59059143,-80.12201691,55,16.31851429,2013-08-17,2013,8,17
"2013-1135",28.5032711,-80.10931396,55,16.98386923,2013-08-17,2013,8,17
"2013-1136",27.90698051,-80.02182007,50,19.67466087,2013-08-18,2013,8,18
"2013-1137",27.71272659,-80.12446594,24,22.72812286,2013-08-18,2013,8,18
"2013-1138",27.8307991,-80.1473465,29,22.4759,2013-08-18,2013,8,18
"2013-1139",28.0106144,-80.38478088,20,23.33354615,2013-08-19,2013,8,19
"2013-1140",28.08431435,-80.20307159,28,22.97993333,2013-08-19,2013,8,19
"2013-1141",28.14566422,-80.22274017,27,23.235375,2013-08-19,2013,8,19
"2013-1142",28.86527443,-80.17092133,56,19.92462353,2013-08-20,2013,8,20
"2013-1143",28.94813728,-80.1807785,57,20.34137143,2013-08-20,2013,8,20
"2013-1144",28.9660778,-80.18386078,52,20.46841429,2013-08-20,2013,8,20
"2013-1145",29.66512108,-80.27616119,63,13.5082,2013-08-21,2013,8,21
"2013-1146",31.73719597,-80.21737671,32,27.06035,2013-08-28,2013,8,28
"2013-1147",31.53734779,-79.73403931,60,22.61066667,2013-08-29,2013,8,29
"2013-1148",31.47672653,-79.75977325,67,22.502,2013-08-29,2013,8,29
"2013-1149",31.50823021,-79.72065735,70,21.94030357,2013-08-29,2013,8,29
"2013-1150",31.62519264,-79.66401672,68,22.4461,2013-08-30,2013,8,30
"2013-1151",31.60626984,-79.68215942,67,22.93798667,2013-08-30,2013,8,30
"2013-1152",30.05512238,-80.27871704,56,20.40765,2013-08-31,2013,8,31
"2013-1153",30.01451111,-80.28044128,55,21.1061,2013-08-31,2013,8,31
"2013-1154",29.88564873,-80.28555298,53,19.66785417,2013-08-31,2013,8,31
"2013-1156",29.97660637,-80.28352356,58,20.478725,2013-09-01,2013,9,1
"2013-1157",29.94593239,-80.28398895,57,20.70803333,2013-09-01,2013,9,1
"2013-1158",29.93280029,-80.51903534,37,23.21639615,2013-09-01,2013,9,1
"2013-1159",29.84724998,-80.52880859,36,24.00200588,2013-09-02,2013,9,2
"2013-1160",29.69702721,-80.46378326,33,23.9476,2013-09-02,2013,9,2
"2013-1161",29.5423584,-80.38587189,43,22.64221692,2013-09-02,2013,9,2
"2013-1162",28.88242912,-80.27301788,39,25.30344545,2013-09-03,2013,9,3
"2013-1163",28.84688187,-80.25313568,41,25.17384615,2013-09-03,2013,9,3
"2013-1164",28.99792671,-80.28357697,42,25.07551905,2013-09-03,2013,9,3
"2013-1165",29.10484123,-80.41085052,31,24.49201,2013-09-04,2013,9,4
"2013-1166",29.17859077,-80.60609436,25,24.09087385,2013-09-04,2013,9,4
"2013-1167",29.2324295,-80.69865417,24,24.19860556,2013-09-04,2013,9,4
"2013-1168",29.32342911,-80.40549469,33,20.53375333,2013-09-05,2013,9,5
"2013-1169",31.38473892,-80.88431549,18,27.99565714,2013-09-19,2013,9,19
"2013-1170",31.38106537,-80.8815918,20,27.8602,2013-09-20,2013,9,20
"2013-1171",31.3920269,-80.87628937,18,27.8717,2013-09-20,2013,9,20
"2013-1172",31.45972633,-79.79647827,58,21.17974141,2013-09-21,2013,9,21
"2013-1173",31.48002815,-79.78394318,57,21.379875,2013-09-21,2013,9,21
"2013-1174",31.48387146,-79.72758484,70,20.34838,2013-09-21,2013,9,21
"2013-1175",31.59576035,-80.78420258,20,27.7160087,2013-09-22,2013,9,22
"2013-1176",31.5842247,-80.8121109,21,27.70568696,2013-09-22,2013,9,22
"2013-1177",31.32494545,-80.53781128,32,27.64238043,2013-09-22,2013,9,22
"2013-1178",30.55585861,-80.16729736,54,21.67172683,2013-09-23,2013,9,23
"2013-1179",30.42355728,-80.46663666,37,27.4177,2013-09-23,2013,9,23
"2013-1180",30.58185577,-80.78028107,32,27.5084,2013-09-23,2013,9,23
"2013-1181",30.61064339,-81.18053436,22,27.96179091,2013-09-24,2013,9,24
"2013-1182",30.48810959,-81.2114563,21,28.1388,2013-09-24,2013,9,24
"2013-1183",30.19960785,-80.90090179,28,28.04915,2013-09-24,2013,9,24
"2013-1184",30.34369278,-80.64122772,34,27.51101852,2013-09-25,2013,9,25
"2013-1185",30.22599792,-80.45498657,41,26.65210476,2013-09-25,2013,9,25
"2013-1186",30.3070755,-80.38388062,43,26.6649,2013-09-25,2013,9,25
"2013-1187",30.00130272,-80.57529449,41,26.67473636,2013-09-26,2013,9,26
"2013-12",32.5865,-79.1495,34,22.65747152,2013-05-20,2013,5,20
"2013-13",32.69568,-78.54612,46,20.00885934,2013-05-21,2013,5,21
"2013-14",32.76673,-78.42306,NA,20.34710655,2013-05-21,2013,5,21
"2013-15",32.86983,-78.266,46,20.52979105,2013-05-21,2013,5,21
"2013-16",32.82804,-78.27863,48,19.94278717,2013-05-21,2013,5,21
"2013-17",32.76016,-78.49533,41,20.7631994,2013-05-22,2013,5,22
"2013-18",32.75866,-78.61667,32,20.98050003,2013-05-22,2013,5,22
"2013-19",32.78333,-78.64983,32,21.50649997,2013-05-22,2013,5,22
"2013-2",32.25683,-79.71433,27,19.24080009,2013-04-24,2013,4,24
"2013-20",32.53842,-79.56024,22,NA,2013-05-23,2013,5,23
"2013-21",32.50549,-79.7012,16,22.22582531,2013-05-23,2013,5,23
"2013-22",32.79323,-78.78971,32,22.33146667,2013-05-28,2013,5,28
"2013-23",33.73033,-77.28567,30,NA,2013-05-29,2013,5,29
"2013-24",33.80916,-77.27333,32,NA,2013-05-29,2013,5,29
"2013-25",33.84633,-77.28283,32,21.65260029,2013-05-29,2013,5,29
"2013-26",33.28196,-78.46953,24,22.97805023,2013-05-30,2013,5,30
"2013-27",33.2786,-78.4281,25,22.91149998,2013-05-30,2013,5,30
"2013-28",33.05831,-78.62355,27,22.65284967,2013-05-30,2013,5,30
"2013-29",32.48866,-79.68017,18,25.17205029,2013-06-10,2013,6,10
"2013-3",32.23016,-79.70133,28,19.54787118,2013-04-24,2013,4,24
"2013-30",32.2424,-79.70081,27,22.96722484,2013-06-17,2013,6,17
"2013-31",32.23166,-79.69775,29,22.89229965,2013-06-17,2013,6,17
"2013-33",32.34132,-79.21673,41,19.42350006,2013-06-18,2013,6,18
"2013-34",32.59545,-79.22324,31,21.2404995,2013-06-18,2013,6,18
"2013-35",32.55417,-79.35729,24,21.7329998,2013-06-18,2013,6,18
"2013-36",32.64883,-78.56233,61,NA,2013-06-24,2013,6,24
"2013-37",32.856,-78.2515,51,20.04360008,2013-06-24,2013,6,24
"2013-39",33.7482,-76.64917,84,19.52025032,2013-06-25,2013,6,25
"2013-4",32.28275,-79.71618,24,22.32232523,2013-05-13,2013,5,13
"2013-41",33.93667,-76.52059,40,25.49295044,2013-06-25,2013,6,25
"2013-42",33.96899,-76.78483,35,26.44655037,2013-06-26,2013,6,26
"2013-43",33.79716,-77.6345,21,21.41480064,2013-07-16,2013,7,16
"2013-44",33.77433,-77.4785,34,21.95429993,2013-07-16,2013,7,16
"2013-45",33.73816,-77.26083,32,21.92760086,2013-07-16,2013,7,16
"2013-46",33.88435,-77.23604,27,23.32959938,2013-07-16,2013,7,16
"2013-48",33.78633,-76.83967,39,27.37963359,2013-07-17,2013,7,17
"2013-5",32.0425,-79.42767,50,22.32232523,2013-05-14,2013,5,14
"2013-50",33.64771,-76.91765,41,27.45726649,2013-07-17,2013,7,17
"2013-51",33.47378,-77.08405,40,25.85800044,2013-07-17,2013,7,17
"2013-54",32.95685,-78.7434,27,20.7057991,2013-07-26,2013,7,26
"2013-55",32.26516,-79.16983,50,19.17883364,2013-07-31,2013,7,31
"2013-56",32.283,-79.156,50,19.31509972,2013-07-31,2013,7,31
"2013-57",32.35466,-79.04367,49,19.44960022,2013-07-31,2013,7,31
"2013-58",32.42066,-78.9775,54,19.64620018,2013-07-31,2013,7,31
"2013-59",34.99741,-75.46619,47,25.89699999,2013-08-07,2013,8,7
"2013-6",32.26623,-79.03048,92,22.32232523,2013-05-14,2013,5,14
"2013-60",34.9775,-75.46117,50,24.25685024,2013-08-07,2013,8,7
"2013-61",34.9239,-75.5287,49,23.71389961,2013-08-08,2013,8,8
"2013-62",34.9016,-75.52122,54,24.23950005,2013-08-08,2013,8,8
"2013-63",34.60383,-76.14717,37,24.36089993,2013-08-08,2013,8,8
"2013-64",34.60316,-76.17833,36,23.93168354,2013-08-09,2013,8,9
"2013-65",34.56387,-76.23281,34,23.51499939,2013-08-09,2013,8,9
"2013-66",34.55205,-76.22821,35,23.5468502,2013-08-09,2013,8,9
"2013-67",34.54533,-76.24417,34,23.53559971,2013-08-09,2013,8,9
"2013-68",34.53714,-76.21398,36,23.93255043,2013-08-10,2013,8,10
"2013-69",34.55866,-76.20617,36,23.83213361,2013-08-10,2013,8,10
"2013-7",32.30083,-79.04417,72,22.32232523,2013-05-14,2013,5,14
"2013-70",34.58166,-76.31417,25,23.28000069,2013-08-10,2013,8,10
"2013-71",34.55737,-76.33828,22,23.42385006,2013-08-11,2013,8,11
"2013-72",34.5295,-76.40433,17,23.12409973,2013-08-11,2013,8,11
"2013-73",34.51295,-76.35222,21,24.35836029,2013-08-11,2013,8,11
"2013-74",34.51864,-76.25728,34,25.04080009,2013-08-11,2013,8,11
"2013-75",34.30399,-76.57833,25,24.90689977,2013-08-12,2013,8,12
"2013-76",34.26666,-76.82817,28,26.63204956,2013-08-12,2013,8,12
"2013-77",33.2756,-78.4491,25,22.89459991,2013-08-20,2013,8,20
"2013-78",33.27533,-78.424,26,22.96360016,2013-08-20,2013,8,20
"2013-79",33.26683,-78.44233,24,22.92440033,2013-08-20,2013,8,20
"2013-8",32.34856,-79.04322,52,22.32232523,2013-05-15,2013,5,15
"2013-80",33.47166,-78.2405,24,25.63786634,2013-08-20,2013,8,20
"2013-81",33.42449,-77.0565,77,23.2622509,2013-08-21,2013,8,21
"2013-85",32.85333,-78.26783,46,24.09160042,2013-08-22,2013,8,22
"2013-86",32.7875,-78.34783,44,23.7198,2013-08-22,2013,8,22
"2013-87",32.78503,-78.63564,34,24.3470993,2013-08-22,2013,8,22
"2013-88",32.78916,-78.6337,35,24.2371006,2013-08-22,2013,8,22
"2013-89",32.44024,-78.956,46,23.81739998,2013-08-27,2013,8,27
"2013-9",32.40066,-78.99933,57,22.32232523,2013-05-15,2013,5,15
"2013-90",32.48818,-78.83387,48,22.55529976,2013-08-28,2013,8,28
"2013-91",32.49249,-78.815,51,23.05709934,2013-08-28,2013,8,28
"2013-92",32.59036,-78.57796,50,24.50029945,2013-08-28,2013,8,28
"2013-93",34.5785,-76.95433,16,23.99099922,2013-10-01,2013,10,1
"2013-94",34.42781,-76.90128,22,23.85706647,2013-10-01,2013,10,1
"2013-95",34.30701,-76.88975,25,24.53690052,2013-10-01,2013,10,1
"2013-97",34.48,-75.893,70,19.54326757,2013-10-02,2013,10,2
"2013-99",34.34116,-76.37983,21,25.08304977,2013-10-02,2013,10,2
"2014-1001",29.65909386,-80.85468292,27,20.86925,2014-04-30,2014,4,30
"2014-1002",29.21081543,-80.6884079,25,22.79974516,2014-04-30,2014,4,30
"2014-1003",29.27310944,-80.57769775,30,23.13431667,2014-04-30,2014,4,30
"2014-1004",27.44416237,-80.07034302,25,20.4005375,2014-05-01,2014,5,1
"2014-1005",27.73668671,-80.13336945,26,21.39605,2014-05-01,2014,5,1
"2014-1006",27.70935631,-80.12229156,24,21.40501429,2014-05-01,2014,5,1
"2014-1007",28.21006012,-80.23732758,24,20.06910909,2014-05-02,2014,5,2
"2014-1008",28.18352318,-80.23021698,25,19.79946667,2014-05-02,2014,5,2
"2014-1009",28.2545433,-80.13598633,43,20.82272857,2014-05-02,2014,5,2
"2014-1010",30.4360218,-80.47481537,39,24.0276,2014-05-03,2014,5,3
"2014-1011",30.52157593,-80.46150208,38,23.68975,2014-05-03,2014,5,3
"2014-1012",30.49163628,-80.52883148,38,23.374388,2014-05-03,2014,5,3
"2014-1013",30.50500107,-80.60625458,37,22.37821111,2014-05-03,2014,5,3
"2014-1014",30.47849846,-80.21252441,49,19.3069,2014-05-04,2014,5,4
"2014-1015",30.45933914,-80.20014954,56,20.22757857,2014-05-04,2014,5,4
"2014-1016",30.42738533,-80.21006775,56,20.93086842,2014-05-04,2014,5,4
"2014-1017",30.40913391,-80.2141037,54,21.63445,2014-05-04,2014,5,4
"2014-1018",29.43352127,-80.36140442,42,20.13898537,2014-05-05,2014,5,5
"2014-1019",29.51086617,-80.45783997,32,20.90173636,2014-05-05,2014,5,5
"2014-1020",29.5311985,-80.41941071,39,20.1588875,2014-05-05,2014,5,5
"2014-1021",29.56443596,-80.39273834,41,19.9806,2014-05-05,2014,5,5
"2014-1022",29.68910027,-80.28924561,58,18.71644444,2014-05-06,2014,5,6
"2014-1023",29.66518784,-80.2755127,63,17.58819153,2014-05-06,2014,5,6
"2014-1024",29.76068687,-80.45256805,36,20.26361429,2014-05-06,2014,5,6
"2014-1025",29.74557304,-80.43766022,38,20.24176923,2014-05-06,2014,5,6
"2014-1026",30.04062271,-80.27919006,53,20.42815714,2014-05-07,2014,5,7
