"Lat","Lon","Avg1","Avg2","Avg3","Avg4","Std1","Std2","Std3","Std4","Trend1","Trend2","Trend3","Trend4"
28.5200000000002,-80.5200000000002,-0.469484542962342,-0.501598985841008,-0.455668778857216,-0.33181623497582,0.116510523667092,0.108266505402749,0.140691604411999,0.141846325516801,4.3895985574655e-05,2.45754978087025e-05,2.26549061012026e-05,4.20156378679931e-05
28.5200000000002,-80.4800000000002,-0.467303523861968,-0.499754996476932,-0.45555537405865,-0.331456837127961,0.114893000405602,0.106773365778453,0.139269067515181,0.140208358027312,4.33719268387757e-05,2.48156557573561e-05,2.26641324771068e-05,4.21291185963132e-05
28.5200000000002,-80.4400000000002,-0.465270430717957,-0.497949122100808,-0.455505245503696,-0.331382946366084,0.113251867742913,0.10526801402111,0.137708274670274,0.138561951080029,4.27552512806682e-05,2.51068578942843e-05,2.26221294657197e-05,4.22871294296532e-05
28.5200000000002,-80.4000000000002,-0.463214577814827,-0.496138626265623,-0.455389522842649,-0.331440711870958,0.111705692107639,0.103806600420805,0.136046122718491,0.136958033812914,4.21113609418061e-05,2.54332898084825e-05,2.25375748843085e-05,4.24982993894198e-05
28.5200000000002,-80.3600000000002,-0.461013685463849,-0.49415728580609,-0.455099728380119,-0.331495683216294,0.11025684240074,0.102353622001844,0.134276224126539,0.135370798646158,4.14883387164054e-05,2.57538584026107e-05,2.24740645587008e-05,4.27391526701851e-05
28.5200000000002,-80.3200000000002,-0.458591208852655,-0.491934153874231,-0.454620579986818,-0.331489605446013,0.108925250599539,0.100915737627847,0.132456886276457,0.133800081759851,4.08622512046586e-05,2.60516890581357e-05,2.25470563043101e-05,4.30018774982927e-05
28.5200000000002,-80.2800000000002,-0.45592237462638,-0.489340866549211,-0.453664427276874,-0.331223067602371,0.107766687230525,0.0995564966376316,0.130559496689283,0.132227629532557,4.03071107641574e-05,2.62567110155784e-05,2.26264337224785e-05,4.32803429380525e-05
28.5200000000002,-80.2400000000002,-0.452895464229708,-0.485922140388687,-0.451294770033896,-0.330367530503056,0.106792135793325,0.0982700255881869,0.128346335385687,0.130626948629861,3.96848515597244e-05,2.63111272775005e-05,2.25760135280036e-05,4.35662647689451e-05
28.5200000000002,-80.2000000000002,-0.449177104989718,-0.48055582469546,-0.44562134034682,-0.328294476921107,0.105886903110784,0.0968220676067848,0.125594184142959,0.128791718818524,3.88457384579593e-05,2.59387738040436e-05,2.23434700653598e-05,4.36057262212295e-05
28.5200000000002,-80.1600000000002,-0.443819549383099,-0.471061341250658,-0.433981512863443,-0.323464694683896,0.104687275964038,0.0949918480281605,0.122098007986143,0.126365871629646,3.75932532527328e-05,2.49779313184627e-05,2.210940252456e-05,4.29375652606356e-05
28.5200000000002,-80.1200000000002,-0.434578165397714,-0.454569183036617,-0.413851090157446,-0.31355095512654,0.102756512377042,0.0926477371068763,0.117953129569446,0.123186508778108,3.55100710929592e-05,2.35032461622102e-05,2.21920329529651e-05,4.13753361737094e-05
28.5200000000002,-80.0800000000002,-0.418222979084084,-0.428781951201339,-0.384164927808834,-0.296176087089155,0.100047952335998,0.0900825426187506,0.113605419004609,0.119310588530059,3.25784720230732e-05,2.19620907892938e-05,2.27829738321967e-05,3.92701928965446e-05
28.5200000000002,-80.0400000000002,-0.392165850430875,-0.393591279515453,-0.346117687046652,-0.270718701718225,0.0970268778434693,0.087769446198411,0.109513228941008,0.115186612865372,2.96237527907975e-05,2.08243213676892e-05,2.37236898760435e-05,3.73801576883932e-05
28.5200000000002,-80.0000000000002,-0.356736926744128,-0.350989290502158,-0.301844973905404,-0.238342628112253,0.0945525942385202,0.085875229405392,0.105833508167099,0.111473868489118,2.72920943672459e-05,2.00764863715273e-05,2.47274487911734e-05,3.59954862514985e-05
28.5200000000002,-79.9600000000002,-0.314687021415471,-0.302933086165061,-0.253130092037777,-0.200396663209021,0.0928576040895903,0.0844496772294437,0.102512504869202,0.108377504533327,2.54241830261874e-05,1.96234442705265e-05,2.588062923594e-05,3.47865331939047e-05
28.5200000000002,-79.9200000000002,-0.267238050032504,-0.250941370715511,-0.201555876162812,-0.15780990845324,0.0918665060668064,0.0833471286530837,0.0994378548660894,0.105906808340856,2.37449987539727e-05,1.93493403758893e-05,2.71738766887486e-05,3.36630759644978e-05
28.5200000000002,-79.8800000000002,-0.215882397278633,-0.196604531763443,-0.148229687443993,-0.111698498789709,0.091386203208105,0.082419456403967,0.0965976041439301,0.104098248057498,2.25986492736261e-05,1.94109620002764e-05,2.86281014206117e-05,3.26806249291657e-05
28.5200000000002,-79.8400000000002,-0.162648696789837,-0.141356148644926,-0.0940426455744252,-0.0635570873400954,0.0909634041558076,0.08150009072294,0.0938758273855836,0.102740737077489,2.20499316291163e-05,1.97062422855948e-05,3.02203599005512e-05,3.1812892371088e-05
28.5200000000002,-79.8000000000002,-0.10902312270248,-0.0863817479531487,-0.039808645981176,-0.0147255122299602,0.0903332627976156,0.0804851405127942,0.0912775264964892,0.101481558969059,2.20359679535819e-05,2.02013596948081e-05,3.17756956394844e-05,3.1077685701601e-05
28.5200000000002,-79.7600000000002,-0.0564082761328816,-0.0326486414955002,0.0136257807534894,0.0335327630020883,0.0894336621619769,0.079289439157816,0.0888534475228186,0.100178663985375,2.23618172585317e-05,2.08431804212613e-05,3.31776116060281e-05,3.04049132263925e-05
