,Bottom T Mode 1,Mixed Layer Mode 1,Salinity Mode 1,SSH Mode 1,SST Mode 1,Bottom T Mode 2,Mixed Layer Mode 2,Salinity Mode 2,SSH Mode 2,SST Mode 2
1993,-0.0647060410575064,-0.144252053124669,-0.0858594404201619,0.0532421128940892,-0.0256515651509939,-0.0575774899862634,-0.0787920516779668,-0.00968537640905936,-0.13059575722454,-0.0951778279110377
1993.08333333333,-0.0272900042464056,-0.0329377187627548,0.0239053798400738,0.0945028880214398,0.0439117370220953,-0.0127662714040021,-0.086948877695156,-0.0803157003354534,-0.0399851739305853,0.000351851171752904
1993.16666666667,0.0455445329501101,-0.0449119064210354,0.00288592304406213,0.0830245853585329,0.0194894624773077,-0.055830876788279,0.0688962230246597,-0.0618397030418951,0.0599553392586334,-0.0810911169558827
1993.25,0.0481127688369522,-0.0273481263531818,0.00734625320035705,0.044702764410039,-0.0211666620259706,-0.0623150554357568,0.00147763439793579,-0.0630490725772015,0.0931412904728968,-0.0347766662275327
1993.33333333333,0.0612407356940924,-0.0317318573326672,0.0246211387785046,-0.0636589540818142,-0.0238309246026013,-0.0193902499647169,0.0264954894040312,-0.00300420621482095,0.0504693436508912,-0.0163126738040663
1993.41666666667,0.0386838319396981,-0.0595430932996766,-0.00568962652225096,-0.0178200208185723,0.00399488746853543,0.0508181011768337,0.0266146472591055,0.0100959084495368,0.0163140721159215,-0.00432104538293902
1993.5,-0.010149495653785,-0.0440295809120258,-0.0432092951773161,-0.034233011987786,-0.00387396272699542,0.0589965565687699,0.0180186196799186,-0.108001468251911,-0.0661732371418559,-0.00149400803591619
1993.58333333333,0.0348241397715666,-0.0163872802203038,-0.00783227972705299,0.0173367884949172,0.0600029804457726,0.00449688633908556,0.00669346958485434,-0.107605001458437,-0.00781294009728772,0.0188823930898392
1993.66666666667,0.0275271101786421,-0.0949952403264498,-0.102723332702966,-0.0642995776087068,0.0545922791080766,-0.00770073377593851,0.0872021017674443,-0.137732902183399,-0.0461171708425836,0.00301052650542842
1993.75,0.0190909304508611,-0.083164134303655,-0.113874229667654,-0.033676288592405,0.0697515666774096,0.0283822933842964,0.0129987243664702,0.033670546920923,-0.00503099363088378,-0.0250691314569747
1993.83333333333,0.0133023201889733,-0.0912093896678047,-0.0797899985748395,0.0499443360024232,0.0527809073128776,0.00733391001710588,0.0126296209886811,0.0138552198142867,-0.0226166249629348,-0.023107422484486
1993.91666666667,0.0275004561185792,-0.05201828457941,0.0208976480986443,0.0494772608655399,0.0814115018915379,-0.00457138975115511,-0.0133671896943485,0.0330635327523995,0.0177336542584765,-0.0643856615268459
1994,0.0289359762107994,-0.0203813987742669,-0.0179414715651619,0.0628021059075813,0.0754370218899361,-0.0402355725749299,0.0197067418115811,-0.0631561770662617,0.0302726563282705,-0.0595094689398425
1994.08333333333,-0.0380369700233136,-0.0775329724666071,-0.0223381388079533,0.109435687875146,0.0551262848655129,-0.0281603446107704,-0.000309851135201605,-0.0580289923181938,-0.066197363763039,-0.0942198160534233
1994.16666666667,-0.021550633981456,-0.110407820199769,-0.056668457578921,0.105876760651066,0.0468004179206353,-0.0793969450907663,0.0504890678641258,0.0114071023112468,-0.0471006164226863,-0.103813981955505
1994.25,-0.000212645943291062,-0.130587873643132,-0.0699344252589777,0.0368334173835497,0.0135840083425128,-0.0554344695128861,0.0784411629478985,-0.0379839378742618,-0.0571137186072106,-0.042068487716684
1994.33333333333,-0.0308423074848254,-0.0349557364487569,0.0236854809874349,0.163217619425208,0.00502556485089702,0.0999428894206876,-0.0192119798343725,-0.00216518897347323,-0.0173460653383659,0.06575947154994
1994.41666666667,0.0401524435152587,-0.0408516741973351,-0.0104593162182172,-0.0239098449078454,-0.00365367265551145,0.0704015113991586,0.00599936246941057,0.0512878273537539,-0.00459141352119312,0.018300023147685
1994.5,0.184064515470911,0.117073548943881,0.00518086572072938,-0.0401841521525524,0.0063416497549182,0.00128079064333314,0.0647480811750125,0.0260631542691753,0.0774275761382761,0.0307637333723533
1994.58333333333,0.123474575854189,-0.0110396659458698,-0.00251946827958236,-0.00484969875207652,-0.000159225780962002,-0.0140904341859511,0.0587285549966806,-0.00355994672828193,0.0635197091302904,0.0432076796108672
1994.66666666667,0.0611575798233925,-0.00742570452430741,0.0042371196713081,-0.0256056663103505,-0.0313570198514947,-0.0585018221424521,0.0136587500419814,0.0406273572495853,0.0311718165178296,0.0302267207572497
1994.75,0.0128622477480415,0.0316676552757419,0.0319034861233032,0.012878043476042,-0.0179045932283089,0.0278970164699321,0.0591330133350448,-0.0463299669481736,0.0231058428537586,0.0709362797807039
1994.83333333333,-0.0422254976773296,-0.071328888645968,-0.0445868075668185,-0.0171384958334198,-0.00665218374403786,0.0697500451449805,0.0624658677981082,-0.0303501932921008,-0.0925409138385825,0.0462574724485671
1994.91666666667,-0.0866187767702203,-0.0344912633744752,0.00240843259694044,0.00523260126117079,0.0165841859583983,0.0749911437827047,-0.126997238912743,-0.0194098756882202,-0.129451156428678,0.00701205533240016
1995,-0.0602345531105148,-0.0501157102925395,0.0659999099103073,0.0415249010837644,0.0177248450855932,-0.020669327297241,0.00754124201484339,-0.00158204375767021,-0.0773366261957206,-0.0638399370472343
1995.08333333333,0.00174554323103231,-0.0300753279475988,-0.0109629686748126,0.115793285802136,0.0212274918327971,-0.0856116461987035,0.0978389756033086,-0.0784420472642183,0.00993033262943264,-0.0601794521125181
1995.16666666667,-0.0188134336593544,-0.00949798954403644,-0.0552293169190432,-0.0202206087968432,-0.0604541987010096,-0.0488831357853873,-0.0147533454874614,-0.0981405489927831,-0.0227530436022785,-0.0369370965377781
1995.25,-0.0543378805542349,-0.0256734545808397,-0.00577641233495509,0.0138573403239067,0.0209150136722834,0.00801263236424886,-0.0216046584415249,-0.0527041593349947,-0.0783671428971245,0.0382006182700954
1995.33333333333,-0.0303208083411781,-0.0582743959865802,-0.0602685385727199,0.0970263434020155,0.072677907821156,0.0196939005570668,-0.0358317663598737,0.00615205529184415,-0.047936411871999,-0.00315815380039823
