Time,TripoleIndex
15-Jan-1993,0.373541262369737
14-Feb-1993,0.447670837678626
15-Mar-1993,0.520774639636849
15-Apr-1993,0.59262569790723
15-May-1993,0.663126063217345
15-Jun-1993,0.732117627483389
15-Jul-1993,0.799564833847298
15-Aug-1993,0.86542784531343
15-Sep-1993,0.929808231421994
15-Oct-1993,0.992733243004469
15-Nov-1993,1.05435876849424
15-Dec-1993,1.11496088774874
15-Jan-1994,1.17473832191179
14-Feb-1994,1.23408548558497
15-Mar-1994,1.2935678885644
15-Apr-1994,1.35384209859058
15-May-1994,1.41572021254224
15-Jun-1994,1.47929848690498
15-Jul-1994,1.54143834916209
15-Aug-1994,1.56639672010451
15-Sep-1994,1.5796876600532
15-Oct-1994,1.58034313652202
15-Nov-1994,1.56750590950966
15-Dec-1994,1.54142386987198
15-Jan-1995,1.50272916150269
14-Feb-1995,1.45243881970117
15-Mar-1995,1.39216781574164
15-Apr-1995,1.32351856065087
15-May-1995,1.24834057406789
15-Jun-1995,1.16847722493977
15-Jul-1995,1.08547649989617
15-Aug-1995,1.00017782886092
15-Sep-1995,0.912951796440023
15-Oct-1995,0.824269286322984
15-Nov-1995,0.735016110199456
15-Dec-1995,0.646413453721086
15-Jan-1996,0.55942741669005
14-Feb-1996,0.474528473344826
15-Mar-1996,0.392170751399057
15-Apr-1996,0.312837831091843
15-May-1996,0.237113102903002
15-Jun-1996,0.165463510827483
15-Jul-1996,0.0983086147804332
15-Aug-1996,0.0363233160754029
15-Sep-1996,-0.0200134236843229
15-Oct-1996,-0.0707566865262399
15-Nov-1996,-0.115396883358026
15-Dec-1996,-0.154047544521494
15-Jan-1997,-0.186691616161907
14-Feb-1997,-0.213689664158545
15-Mar-1997,-0.235455249696374
15-Apr-1997,-0.252604528722509
15-May-1997,-0.265828725565355
15-Jun-1997,-0.275808614649989
15-Jul-1997,-0.28279229248812
15-Aug-1997,-0.286183784287264
15-Sep-1997,-0.284863137965498
15-Oct-1997,-0.278056024983647
15-Nov-1997,-0.265545984448532
15-Dec-1997,-0.247544581792652
15-Jan-1998,-0.224795786576344
14-Feb-1998,-0.198383270183561
15-Mar-1998,-0.169495332186812
15-Apr-1998,-0.139271620412579
15-May-1998,-0.108187068460966
15-Jun-1998,-0.0760356936645792
15-Jul-1998,-0.0422909756631589
15-Aug-1998,-0.00640711328958652
15-Sep-1998,0.0313927160213516
15-Oct-1998,0.0705370166191991
15-Nov-1998,0.110438140470642
15-Dec-1998,0.15092331093112
15-Jan-1999,0.192301339023535
14-Feb-1999,0.234634375779654
15-Mar-1999,0.277479156922826
15-Apr-1999,0.320333970580687
15-May-1999,0.362850177051298
15-Jun-1999,0.404504244016551
15-Jul-1999,0.444620597755263
15-Aug-1999,0.482067562021918
15-Sep-1999,0.515724926456212
15-Oct-1999,0.54455837410573
15-Nov-1999,0.567253937537385
15-Dec-1999,0.582852490012803
15-Jan-2000,0.591123323295689
14-Feb-2000,0.592492025015545
15-Mar-2000,0.587980225692922
15-Apr-2000,0.57886394863078
15-May-2000,0.566604652914092
15-Jun-2000,0.552258353478097
15-Jul-2000,0.536024631872983
15-Aug-2000,0.517251543188349
15-Sep-2000,0.49551975662494
15-Oct-2000,0.470774584776471
15-Nov-2000,0.44351960480001
15-Dec-2000,0.414871449301475
15-Jan-2001,0.386131285434503
14-Feb-2001,0.358555141968313
15-Mar-2001,0.33261609753254
15-Apr-2001,0.308260172522392
15-May-2001,0.285597240709142
15-Jun-2001,0.265041295192917
15-Jul-2001,0.247504897751566
15-Aug-2001,0.233558849273166
15-Sep-2001,0.22367184534856
15-Oct-2001,0.218343256546396
15-Nov-2001,0.217743787051993
15-Dec-2001,0.221688637584301
15-Jan-2002,0.229700983853406
14-Feb-2002,0.241310795918976
15-Mar-2002,0.255774794608412
15-Apr-2002,0.272039712924544
15-May-2002,0.288756677085277
15-Jun-2002,0.304776884512214
15-Jul-2002,0.319073868665795
15-Aug-2002,0.330441777915004
15-Sep-2002,0.337714343157503
15-Oct-2002,0.339701310183096
15-Nov-2002,0.335464424805479
15-Dec-2002,0.324326399790264
15-Jan-2003,0.305551882177729
14-Feb-2003,0.278654657558523
15-Mar-2003,0.243428630159106
15-Apr-2003,0.199943580870749
15-May-2003,0.148658453448009
15-Jun-2003,0.0905625548819362
15-Jul-2003,0.0273267489206731
15-Aug-2003,-0.0389042472539239
15-Sep-2003,-0.105848750368058
15-Oct-2003,-0.172491370133014
15-Nov-2003,-0.238908843183354
15-Dec-2003,-0.305786524620195
15-Jan-2004,-0.374010662592211
14-Feb-2004,-0.443955071139467
15-Mar-2004,-0.515760973368111
15-Apr-2004,-0.589323538701006
15-May-2004,-0.664552989328215
15-Jun-2004,-0.741143442760292
15-Jul-2004,-0.81796141068758
15-Aug-2004,-0.893500986739989
15-Sep-2004,-0.96595453234587
15-Oct-2004,-1.03369268989277
15-Nov-2004,-1.09587515408873
15-Dec-2004,-1.15234725934817
15-Jan-2005,-1.20328638827627
14-Feb-2005,-1.24930626692628
15-Mar-2005,-1.29147312527164
15-Apr-2005,-1.33095652994522
15-May-2005,-1.36840469221537
15-Jun-2005,-1.4041866308604
15-Jul-2005,-1.43766632967165
15-Aug-2005,-1.46746939624961
15-Sep-2005,-1.49210746372552
15-Oct-2005,-1.51040115657278
15-Nov-2005,-1.52134934392361
15-Dec-2005,-1.5239981652982
15-Jan-2006,-1.517652009433
14-Feb-2006,-1.5025329489511
15-Mar-2006,-1.47929837647984
15-Apr-2006,-1.44917982513411
15-May-2006,-1.41374967362271
