,Variable,Method,Breaks
1,Gag Grouper,CPT,2017
2,Gag Grouper,CPT,2018
3,Gag Grouper,Breakpoints,2008
4,Greater Amberjack,CPT,2015
5,Greater Amberjack,CPT,2016
6,Greater Amberjack,Breakpoints,2004
7,Gray Triggerfish,CPT,2012
8,Gray Triggerfish,CPT,2013
9,Gray Triggerfish,Breakpoints,1988
10,Gray Triggerfish,Breakpoints,1996
11,Gray Triggerfish,Breakpoints,1998
12, Red Porgy,CPT,2015
13, Red Porgy,CPT,2016
14, Red Porgy,Breakpoints,2010
15,Red Grouper,CPT,2003
16,Red Grouper,CPT,2019
17,Red Grouper,Breakpoints,1981
18,Red Grouper,Breakpoints,2003
19,Black Sea Bass,CPT,2015
20,Black Sea Bass,CPT,2016
21,Black Sea Bass,Breakpoints,1986
22,Black Sea Bass,Breakpoints,2011
23,Red Snapper,CPT,2017
24,Red Snapper,CPT,2018
25,Red Snapper,Breakpoints,2012
26,Scamp,CPT,2007
27,Scamp,CPT,2018
28,Scamp,Breakpoints,2002
29,Scamp,Breakpoints,2008
30,Snowy Grouper ,CPT,2010
31,Snowy Grouper ,CPT,2016
32,Snowy Grouper ,Breakpoints,1983
33,Snowy Grouper ,Breakpoints,2009
34,Vermilion Snapper,CPT,2014
35,Vermilion Snapper,CPT,2015
36,Vermilion Snapper,Breakpoints,2004
37,Vermilion Snapper,Breakpoints,2007
