"Lat","Lon","Date","Breaks"
"28.5200000000002","-80.5200000000002","2014-04-28","7788"
"28.5200000000002","-80.4800000000002","2014-04-27","7787"
"28.5200000000002","-80.4400000000002","2014-04-27","7787"
"28.5200000000002","-80.4000000000002","2013-08-22","7539"
"28.5200000000002","-80.3600000000002","2013-08-23","7540"
"28.5200000000002","-80.3200000000002","2013-08-25","7542"
"28.5200000000002","-80.2800000000002","2013-09-18","7566"
"28.5200000000002","-80.2400000000002","2018-09-11","9385"
"28.5200000000002","-80.2000000000002","2018-09-11","9385"
"28.5200000000002","-80.1600000000002","2018-09-11","9385"
"28.5200000000002","-80.1200000000002","2018-09-11","9385"
"28.5200000000002","-80.0800000000002","2018-10-12","9416"
"28.5200000000002","-80.0400000000002","2018-11-10","9445"
"28.5200000000002","-80.0000000000002","2018-11-23","9458"
"28.5200000000002","-79.9600000000002","2013-11-05","7614"
"28.5200000000002","-79.9200000000002","2018-11-26","9461"
"28.5200000000002","-79.8800000000002","2019-08-16","9724"
"28.5200000000002","-79.8400000000002","2019-08-31","9739"
"28.5200000000002","-79.8000000000002","2020-05-29","10011"
"28.5200000000002","-79.7600000000002","1996-10-07","1376"
"28.5200000000002","-79.7200000000002","1996-10-07","1376"
"28.5200000000002","-79.6800000000002","2011-06-06","6731"
"28.5600000000002","-80.5600000000002","2014-04-29","7789"
"28.5600000000002","-80.5200000000002","2014-04-28","7788"
"28.5600000000002","-80.4800000000002","2014-04-27","7787"
"28.5600000000002","-80.4400000000002","2014-04-27","7787"
"28.5600000000002","-80.4000000000002","2013-08-22","7539"
"28.5600000000002","-80.3600000000002","2013-08-24","7541"
"28.5600000000002","-80.3200000000002","2013-09-05","7553"
"28.5600000000002","-80.2800000000002","2013-09-18","7566"
"28.5600000000002","-80.2400000000002","2018-09-11","9385"
"28.5600000000002","-80.2000000000002","2018-09-11","9385"
"28.5600000000002","-80.1600000000002","2018-09-11","9385"
"28.5600000000002","-80.1200000000002","2018-09-12","9386"
"28.5600000000002","-80.0800000000002","2018-10-21","9425"
"28.5600000000002","-80.0400000000002","2018-11-10","9445"
"28.5600000000002","-80.0000000000002","2018-11-23","9458"
"28.5600000000002","-79.9600000000002","2013-11-12","7621"
"28.5600000000002","-79.9200000000002","2019-02-08","9535"
"28.5600000000002","-79.8800000000002","2019-08-16","9724"
"28.5600000000002","-79.8400000000002","2019-08-31","9739"
"28.5600000000002","-79.8000000000002","2020-05-30","10012"
"28.5600000000002","-79.7600000000002","1996-10-08","1377"
"28.5600000000002","-79.7200000000002","1996-10-07","1376"
"28.5600000000002","-79.6800000000002","2011-06-06","6731"
"28.6000000000002","-80.5600000000002","2014-04-29","7789"
"28.6000000000002","-80.5200000000002","2014-04-28","7788"
"28.6000000000002","-80.4800000000002","2014-04-27","7787"
"28.6000000000002","-80.4400000000002","2013-08-22","7539"
"28.6000000000002","-80.4000000000002","2013-08-23","7540"
"28.6000000000002","-80.3600000000002","2013-08-23","7540"
"28.6000000000002","-80.3200000000002","2013-09-05","7553"
"28.6000000000002","-80.2800000000002","2018-08-27","9370"
"28.6000000000002","-80.2400000000002","2018-09-11","9385"
"28.6000000000002","-80.2000000000002","2018-09-11","9385"
"28.6000000000002","-80.1600000000002","2018-09-11","9385"
"28.6000000000002","-80.1200000000002","2018-09-12","9386"
"28.6000000000002","-80.0800000000002","2018-10-21","9425"
"28.6000000000002","-80.0400000000002","2018-11-10","9445"
"28.6000000000002","-80.0000000000002","2018-11-24","9459"
"28.6000000000002","-79.9600000000002","2014-10-26","7969"
"28.6000000000002","-79.9200000000002","2019-02-08","9535"
"28.6000000000002","-79.8800000000002","2019-08-16","9724"
"28.6000000000002","-79.8400000000002","2019-08-31","9739"
"28.6000000000002","-79.8000000000002","2020-05-30","10012"
"28.6000000000002","-79.7600000000002","1996-10-08","1377"
"28.6000000000002","-79.7200000000002","1996-10-07","1376"
"28.6000000000002","-79.6800000000002","2011-06-05","6730"
"28.6400000000002","-80.6000000000002","2014-04-29","7789"
"28.6400000000002","-80.5600000000002","2014-04-28","7788"
"28.6400000000002","-80.5200000000002","2014-04-28","7788"
"28.6400000000002","-80.4800000000002","2014-04-27","7787"
"28.6400000000002","-80.4400000000002","2013-08-23","7540"
"28.6400000000002","-80.4000000000002","2013-08-23","7540"
"28.6400000000002","-80.3600000000002","2013-08-24","7541"
"28.6400000000002","-80.3200000000002","2013-09-17","7565"
"28.6400000000002","-80.2800000000002","2018-08-29","9372"
"28.6400000000002","-80.2400000000002","2018-09-11","9385"
"28.6400000000002","-80.2000000000002","2018-09-11","9385"
"28.6400000000002","-80.1600000000002","2018-09-11","9385"
"28.6400000000002","-80.1200000000002","2018-10-12","9416"
"28.6400000000002","-80.0800000000002","2018-11-09","9444"
"28.6400000000002","-80.0400000000002","2018-11-10","9445"
"28.6400000000002","-80.0000000000002","2014-10-26","7969"
"28.6400000000002","-79.9600000000002","2014-10-26","7969"
"28.6400000000002","-79.9200000000002","2019-02-08","9535"
"28.6400000000002","-79.8800000000002","2019-08-16","9724"
"28.6400000000002","-79.8400000000002","2020-05-30","10012"
"28.6400000000002","-79.8000000000002","2020-05-30","10012"
"28.6400000000002","-79.7600000000002","1996-10-08","1377"
"28.6400000000002","-79.7200000000002","1996-10-07","1376"
"28.6400000000002","-79.6800000000002","2011-05-25","6719"
"28.6800000000002","-80.6400000000002","2014-04-29","7789"
"28.6800000000002","-80.6000000000002","2014-04-29","7789"
"28.6800000000002","-80.5600000000002","2014-04-28","7788"
